Map_name,Key_name,Nearest_H_dist(0),Nearest_H_dist(1),Nearest_H_dist(2),Nearest_H_dist(3),Nearest_H_dist(4),Nearest_H_dist(5),Nearest_H_dist(6),Nearest_H_dist(7),Nearest_H_dist(8),Nearest_H_dist(9),Nearest_RGB_min(0),Nearest_RGB_min(1),Nearest_RGB_min(2),Nearest_RGB_min(3),Nearest_RGB_min(4),Nearest_RGB_min(5),Nearest_RGB_min(6),Nearest_RGB_min(7),Nearest_RGB_min(8),Nearest_RGB_min(9),Nearest_RGB_dist(0),Nearest_RGB_dist(1),Nearest_RGB_dist(2),Nearest_RGB_dist(3),Nearest_RGB_dist(4),Nearest_RGB_dist(5),Nearest_RGB_dist(6),Nearest_RGB_dist(7),Nearest_RGB_dist(8),Nearest_RGB_dist(9),strict_range_H,number_of_H_in_key,number_of_keys,ratio_subregion,ratio_grayregion,ratio_blackregion,number_of_H_in_map,color_range_R_across_keys,color_range_G_across_keys,color_range_B_across_keys,color_range_H_across_keys
AK_Dillingham,AK_Dillingham_ac_poly,1,2,3,4,4,5,5,6,6,6,0,0,0,1,1,1,1,2,2,2,8,8,12,14,14,14,14,15,16,16,1,34,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_acl_poly,1,1,3,4,4,5,5,5,5,6,0,0,0,0,1,1,1,1,1,2,6,7,8,11,13,14,14,15,15,15,1,48,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_af_poly,9,9,11,14,15,16,19,20,21,23,1,2,3,6,6,7,7,7,8,8,6,8,8,9,9,10,13,14,14,15,1,23,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_ak_poly,6,18,23,24,24,24,25,26,27,27,0,1,1,1,1,1,2,3,5,5,6,8,9,11,12,12,13,14,14,14,2,34,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_ako_poly,0,0,1,1,2,4,5,6,6,9,0,1,1,2,3,3,3,4,5,6,6,7,9,9,9,10,13,13,13,14,1,19,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_aky_poly,5,6,6,6,7,8,10,11,12,12,4,4,5,5,5,6,7,7,7,7,7,11,13,14,14,15,15,15,15,16,1,19,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_al_poly,0,0,1,1,2,4,5,6,6,9,0,1,1,1,2,3,4,4,5,6,4,4,8,9,10,13,14,14,14,14,2,26,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_bk_poly,4,6,7,8,9,10,10,12,12,12,0,0,1,2,2,4,4,4,5,6,4,9,11,12,12,13,13,13,13,14,1,45,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_cd_poly,1,1,4,4,5,6,6,6,8,9,0,2,2,3,3,3,4,5,5,5,4,6,9,9,9,12,12,14,14,14,2,18,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_ed_poly,0,0,1,1,2,4,5,6,6,9,0,0,0,0,0,1,1,1,2,2,8,9,9,10,11,11,12,13,14,14,2,25,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_ek_poly,1,2,3,4,5,5,7,7,7,8,0,0,1,1,2,2,2,4,5,5,3,5,9,12,12,13,14,14,14,14,1,16,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_es_poly,2,24,24,28,33,34,34,34,35,35,1,1,1,1,2,2,2,3,3,3,4,7,8,8,9,11,13,14,14,15,1,6,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_fg_poly,2,2,3,4,5,8,9,10,11,12,0,1,1,1,1,2,2,2,3,3,9,9,9,9,10,12,12,13,14,14,1,11,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_bu_poly,0,4,9,10,11,11,13,13,14,15,0,0,1,2,2,4,5,5,6,6,8,8,8,12,12,12,13,14,14,14,1,4,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_g_poly,6,12,17,18,18,18,19,20,22,23,0,0,1,1,1,1,2,2,2,2,7,11,11,11,13,13,13,13,14,14,2,17,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_gc_poly,0,2,5,6,7,9,10,11,12,14,0,2,2,3,3,4,4,5,8,10,8,8,8,12,13,13,15,15,15,16,2,24,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_gl_poly,4,4,5,6,7,7,9,9,10,11,2,2,3,4,5,5,7,8,10,12,9,11,11,13,13,13,14,14,15,15,1,37,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_ig_poly,0,1,2,2,2,3,3,4,4,6,0,0,2,2,3,4,6,6,7,8,8,8,9,9,10,11,11,12,12,13,1,38,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_igd_poly,1,1,2,2,2,4,4,4,5,6,0,1,1,3,3,4,5,5,6,7,10,11,11,12,13,13,13,14,14,15,1,53,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_igg_poly,2,3,4,4,5,6,6,8,8,9,0,1,1,1,2,3,3,4,4,4,8,10,10,11,13,13,13,13,14,14,1,63,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_io_poly,1,1,1,2,3,3,3,4,5,5,0,1,1,1,2,2,2,2,6,7,9,10,11,11,12,12,12,14,14,14,2,24,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_ld_poly,0,3,32,34,58,58,62,67,68,69,0,0,1,1,1,3,3,4,4,5,8,11,11,12,12,12,13,13,13,14,1,7,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_ls_poly,1,2,2,2,2,3,3,4,7,8,1,2,4,4,5,5,5,7,7,7,6,7,8,8,9,10,12,13,14,15,1,28,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_lw_poly,0,12,16,18,19,20,21,22,22,24,1,1,2,2,3,3,4,4,4,5,7,8,10,12,13,13,14,14,15,15,1,14,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_lwo_poly,1,1,1,2,3,5,5,6,7,10,1,1,1,1,2,2,3,4,4,4,5,8,9,9,10,12,14,15,15,15,1,12,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
AK_Dillingham,AK_Dillingham_mh_poly,0,1,2,2,2,3,4,5,6,7,0,0,2,3,5,6,7,9,10,12,5,8,11,11,13,13,13,13,14,14,1,24,0.41,0.3477567727300878,0.16837911271184622,0.043189331529142595,1.0,0.6745098039215687,0.8549019607843137,0.26666666666666666,0.9555555555555556
