Map_Id,Map_Name,Legend_Count,RunningTime
0,24_Black Crystal_2014_11,0,0:00:00.040736
1,24_Black Crystal_2014_p,0,0:00:00.032517
2,26_Black Crystal_2018_6,0,0:00:00.032513
3,46_Coosa_2015_11 46,0,0:00:00.033087
4,46_Coosa_2015_11 74,0,0:00:00.033072
0,24_Black Crystal_2014_11,0,0:00:00.034583
1,24_Black Crystal_2014_p,0,0:00:00.032586
2,26_Black Crystal_2018_6,0,0:00:00.032512
3,46_Coosa_2015_11 46,0,0:00:00.033076
4,46_Coosa_2015_11 74,0,0:00:00.033505
5,AK_Dillingham,41,0:01:47.240771
6,AK_Hughes,84,0:03:20.967528
7,AK_Kechumstuk,31,0:03:11.337781
8,AR_Maumee,19,0:01:14.226136
9,AR_StJoe,0,0:00:00.036066
10,AZ_GrandCanyon,41,0:03:35.005322
11,AZ_PipeSpring,33,0:02:11.835181
12,AZ_PrescottNF,0,0:00:00.054078
13,CarlinVanadiumNI43-101Jun2020,0,0:00:00.034632
14,CA_AZ_Needles,34,0:01:31.035726
15,CA_Elsinore,29,0:01:49.548825
16,CA_MarbleCanyon,14,0:00:32.166511
17,CA_NV_DeathValley,13,0:01:07.890565
18,CO_Alamosa,0,0:00:00.048039
19,CO_Clifton,19,0:00:55.463964
20,DC_Frederick,0,0:00:00.066095
21,DMEA2328_OldLeydenMine_CO,0,0:00:00.033577
22,KY_WestFranklin,0,0:00:00.034515
23,MA_Grafton,19,0:01:05.664210
24,MN,100,0:04:58.015372
25,NH_Hartland,45,0:03:00.556683
26,NM_Sunshine,0,0:00:00.038059
27,NM_Volcanoes,0,0:00:00.034590
28,NV_HiddenHills,14,0:00:50.389205
29,OR_Camas,0,0:00:00.044079
30,OR_Carlton,0,0:00:00.032098
31,Trend_2005_fig4_2,0,0:00:00.032208
32,Trend_2005_fig4_3,0,0:00:00.032512
33,Trend_2005_fig6_4,0,0:00:00.031078
34,Trend_2005_fig7_2,0,0:00:00.032086
35,Trend_2007_fig6_2,0,0:00:00.033516
36,USGS_B-961_6,0,0:00:00.031244
37,USGS_GF-13_2,0,0:00:00.032050
38,USGS_GF-7_2,0,0:00:00.032324
39,USGS_I-1803-D_1,0,0:00:00.033094
0,CO_DenverW,101,0:06:21.938491
1,JosCtyOR,1,0:00:09.766175
2,MT_Havre,52,0:03:37.989003
3,MT_RedRockLakes,50,0:04:35.741510
4,OR_JosephineCounty,36,0:02:00.977285
5,OR_VancouverOrchard_basemap,15,0:00:59.401500
6,OR_Washougal,37,0:02:50.030042
7,rectify2_LawrenceHoffmann,0,0:00:00.034537
8,RI_Uxbridge,10,0:00:26.271099
9,SD_BlackHills,84,0:08:03.777018
10,TX_Driftwood_Wimberley,44,0:02:46.297705
11,USCan_LakeSuperior,25,0:01:11.140199
12,VA_Hayfield,31,0:02:14.140324
13,VA_Stanardsville,4,0:00:18.012277
14,WA_BeaconRock,50,0:03:39.226746
15,WA_DesMoines,50,0:02:58.653863
16,WA_NWSeattle,10,0:00:47.336571
17,WA_PovertyBay2004,27,0:01:37.379034
18,WA_Woodland,30,0:01:36.357847
19,WV_BlueGap,20,0:01:19.770797
20,WY_CO_Peach,19,0:01:09.315196
21,WY_EatonRes,14,0:00:40.343756
22,WY_FortCollins,103,0:08:03.810511
23,WY_LakeOwen,36,0:01:43.588173
0,24_Black Crystal_2014_11,0,0:00:00.039024
1,24_Black Crystal_2014_p,0,0:00:00.033573
2,26_Black Crystal_2018_6,0,0:00:00.031516
3,46_Coosa_2015_11 46,0,0:00:00.030513
4,46_Coosa_2015_11 74,0,0:00:00.032521
5,AK_Dillingham,0,0:00:00.038520
6,AK_Hughes,0,0:00:00.045840
7,AK_Kechumstuk,0,0:00:00.041525
8,AR_Maumee,0,0:00:00.040019
9,AR_StJoe,17,0:00:58.419655
10,AZ_GrandCanyon,0,0:00:00.040548
11,AZ_PipeSpring,0,0:00:00.037902
12,AZ_PrescottNF,0,0:00:00.042578
13,CarlinVanadiumNI43-101Jun2020,0,0:00:00.030922
14,CA_AZ_Needles,0,0:00:00.051431
15,CA_Elsinore,0,0:00:00.037368
16,CA_MarbleCanyon,0,0:00:00.046232
17,CA_NV_DeathValley,0,0:00:00.038926
18,CO_Alamosa,71,0:04:52.790838
19,CO_Clifton,0,0:00:00.035251
20,DC_Frederick,0,0:00:00.082882
21,DMEA2328_OldLeydenMine_CO,0,0:00:00.040420
22,KY_WestFranklin,9,0:00:46.718646
23,MA_Grafton,0,0:00:00.035391
24,MN,0,0:00:00.043947
25,NH_Hartland,0,0:00:00.037583
26,NM_Sunshine,20,0:01:11.998925
27,NM_Volcanoes,5,0:00:22.330927
28,NV_HiddenHills,0,0:00:00.040897
29,OR_Camas,27,0:03:31.370075
30,OR_Carlton,9,0:00:31.854065
31,Trend_2005_fig4_2,0,0:00:00.031669
32,Trend_2005_fig4_3,0,0:00:00.037521
33,Trend_2005_fig6_4,0,0:00:00.033422
34,Trend_2005_fig7_2,0,0:00:00.021510
35,Trend_2007_fig6_2,0,0:00:00.043566
36,USGS_B-961_6,0,0:00:00.033014
37,USGS_GF-13_2,0,0:00:00.033548
38,USGS_GF-7_2,0,0:00:00.033197
39,USGS_I-1803-D_1,0,0:00:00.024007
